,Coarse RCA %,Water absorption,w/c,fcm (MPa),t¨Ct0 (days),h0 (mm),RH (%),¦Òc(t0)/ fcm(t0),Ecm (MPa),Ecm(t0) (MPa),"¦ÕMC(t,t0)"
1,0,1.2,0.5,49.4,28,75,50,0.35,36678,36678,0.513492
2,0,1.2,0.5,49.4,56,75,50,0.35,36678,36678,0.660204
3,0,1.2,0.5,49.4,100,75,50,0.35,36678,36678,0.843594
4,20,5.19,0.5,49,28,75,50,0.35,33566,33566,0.537056
5,20,5.19,0.5,49,56,75,50,0.35,33566,33566,0.704886
6,20,5.19,0.5,49,100,75,50,0.35,33566,33566,0.872716
7,50,5.19,0.5,47.1,28,75,50,0.35,31376,31376,0.564768
8,50,5.19,0.5,47.1,56,75,50,0.35,31376,31376,0.753024
9,50,5.19,0.5,47.1,100,75,50,0.35,31376,31376,0.909904
10,100,5.19,0.5,43.2,28,75,50,0.35,28891,28891,0.635602
11,100,5.19,0.5,43.2,56,75,50,0.35,28891,28891,0.837839
12,100,5.19,0.5,43.2,100,75,50,0.35,28891,28891,1.068967
13,0,1.2,0.65,41.6,35,75,50,0.35,35204,35204,0.633672
14,0,1.2,0.65,41.6,63,75,50,0.35,35204,35204,0.8801
15,0,1.2,0.65,41.6,100,75,50,0.35,35204,35204,1.161732
16,20,5.19,0.65,40.5,35,75,50,0.35,33186,33186,0.696906
17,20,5.19,0.65,40.5,63,75,50,0.35,33186,33186,0.896022
18,20,5.19,0.65,40.5,100,75,50,0.35,33186,33186,1.16151
19,50,5.19,0.65,38.8,35,75,50,0.35,30775,30775,0.646275
20,50,5.19,0.65,38.8,63,75,50,0.35,30775,30775,0.830925
21,50,5.19,0.65,38.8,100,75,50,0.35,30775,30775,1.04635
22,100,5.19,0.65,35.8,35,75,50,0.35,26214,26214,0.760206
23,100,5.19,0.65,35.8,63,75,50,0.35,26214,26214,0.996132
24,100,5.19,0.65,35.8,100,75,50,0.35,26214,26214,1.205844
25,0,1.2,0.5,45.85,7,75,65,0.35,36223,36223,0.499
26,0,1.2,0.5,45.85,28,75,65,0.35,36223,36223,0.589
27,0,1.2,0.5,45.85,56,75,65,0.35,36223,36223,0.804
28,0,1.2,0.5,45.85,90,75,65,0.35,36223,36223,0.877
29,0,1.2,0.5,45.85,180,75,65,0.35,36223,36223,1.087
30,20,5.635,0.5,47.7,7,75,65,0.35,32360,32360,0.648
31,20,5.635,0.5,47.7,28,75,65,0.35,32360,32360,0.765
32,20,5.635,0.5,47.7,56,75,65,0.35,32360,32360,0.977
33,20,5.635,0.5,47.7,90,75,65,0.35,32360,32360,1.117
34,20,5.635,0.5,47.7,180,75,65,0.35,32360,32360,1.333
35,50,5.635,0.5,50.2,7,75,65,0.35,34072,34072,0.59
36,50,5.635,0.5,50.2,28,75,65,0.35,34072,34072,0.748
37,50,5.635,0.5,50.2,56,75,65,0.35,34072,34072,0.977
38,50,5.635,0.5,50.2,90,75,65,0.35,34072,34072,1.117
39,50,5.635,0.5,50.2,180,75,65,0.35,34072,34072,1.364
40,100,5.635,0.5,54.1,7,75,65,0.35,30995,30995,0.59
41,100,5.635,0.5,54.1,28,75,65,0.35,30995,30995,0.731
42,100,5.635,0.5,54.1,56,75,65,0.35,30995,30995,0.913
43,100,5.635,0.5,54.1,90,75,65,0.35,30995,30995,1.011
44,100,5.635,0.5,54.1,180,75,65,0.35,30995,30995,1.221
45,0,0.6,0.5,28.3,28,50,65,0.3,35875,35875,0.825125
46,0,0.6,0.5,28.3,90,50,65,0.3,35875,35875,1.112125
47,0,0.6,0.5,28.3,200,50,65,0.3,35875,35875,1.2915
48,33,4.8,0.5,32.3,28,50,65,0.3,32395,32395,0.97185
49,33,4.8,0.5,32.3,90,50,65,0.3,32395,32395,1.23101
50,33,4.8,0.5,32.3,200,50,65,0.3,32395,32395,1.49017
51,66,4.8,0.5,37.5,28,50,65,0.3,29268,29268,1.346328
52,66,4.8,0.5,37.5,90,50,65,0.3,29268,29268,1.668276
53,66,4.8,0.5,37.5,200,50,65,0.3,29268,29268,1.814616
54,100,4.8,0.5,30.9,28,50,65,0.3,27653,27653,1.327344
55,100,4.8,0.5,30.9,90,50,65,0.3,27653,27653,1.797445
56,100,4.8,0.5,30.9,200,50,65,0.3,27653,27653,2.018669
57,0,0.34,0.448837209,35.2,28,75,50,0.4,30300,30300,1.501
58,0,0.34,0.448837209,35.2,90,75,50,0.4,30300,30300,2.378
59,0,0.34,0.448837209,35.2,180,75,50,0.4,30300,30300,2.759
60,0,0.34,0.448837209,35.2,300,75,50,0.4,30300,30300,3.063
61,63.5,5.4,0.450746269,41.4,28,75,50,0.4,29800,29800,0.939
62,63.5,5.4,0.450746269,41.4,90,75,50,0.4,29800,29800,1.506
63,63.5,5.4,0.450746269,41.4,180,75,50,0.4,29800,29800,1.846
64,63.5,5.4,0.450746269,41.4,300,75,50,0.4,29800,29800,2.116
65,100,5.4,0.446991404,43.9,28,75,50,0.4,27200,27200,2.006
66,100,5.4,0.446991404,43.9,90,75,50,0.4,27200,27200,3.286
67,100,5.4,0.446991404,43.9,180,75,50,0.4,27200,27200,3.627
68,100,5.4,0.446991404,43.9,300,75,50,0.4,27200,27200,3.98
69,0,0.89,0.450471698,34.1,28,75,50,0.4,30500,30500,1.373
70,0,0.89,0.450471698,34.1,90,75,50,0.4,30500,30500,2.257
71,0,0.89,0.450471698,34.1,180,75,50,0.4,30500,30500,2.648
72,0,0.89,0.450471698,34.1,300,75,50,0.4,30500,30500,3.063
73,74.3,3.3,0.44972067,44.8,28,75,50,0.4,31800,31800,1.44
74,74.3,3.3,0.44972067,44.8,90,75,50,0.4,31800,31800,2.246
75,74.3,3.3,0.44972067,44.8,180,75,50,0.4,31800,31800,2.506
76,74.3,3.3,0.44972067,44.8,300,75,50,0.4,31800,31800,2.93
77,100,3.3,0.446991404,45.9,28,75,50,0.4,28800,28800,1.745
78,100,3.3,0.446991404,45.9,90,75,50,0.4,28800,28800,2.74
79,100,3.3,0.446991404,45.9,180,75,50,0.4,28800,28800,3.025
80,100,3.3,0.446991404,45.9,300,75,50,0.4,28800,28800,3.322
81,0,1.3,0.48,40.2675,7,60,60,0.3,31400,31400,1.0048
82,0,1.3,0.48,40.2675,28,60,60,0.3,31400,31400,1.5072
83,0,1.3,0.48,40.2675,56,60,60,0.3,31400,31400,1.884
84,0,1.3,0.48,40.2675,90,60,60,0.3,31400,31400,2.1666
85,0,1.3,0.48,40.2675,180,60,60,0.3,31400,31400,2.4492
86,0,1.3,0.48,40.2675,250,60,60,0.3,31400,31400,2.6062
87,0,1.3,0.48,40.2675,400,60,60,0.3,31400,31400,2.7632
88,27,7,0.48,50.115,7,60,60,0.3,30300,30300,0.8787
89,27,7,0.48,50.115,28,60,60,0.3,30300,30300,1.3029
90,27,7,0.48,50.115,56,60,60,0.3,30300,30300,1.5453
91,27,7,0.48,50.115,90,60,60,0.3,30300,30300,1.7271
92,27,7,0.48,50.115,180,60,60,0.3,30300,30300,1.9392
93,27,7,0.48,50.115,250,60,60,0.3,30300,30300,2.0301
94,27,7,0.48,50.115,400,60,60,0.3,30300,30300,2.2119
95,63.5,8.15,0.48,44.46,7,60,60,0.3,24900,24900,0.8466
96,63.5,8.15,0.48,44.46,28,60,60,0.3,24900,24900,1.3944
97,63.5,8.15,0.48,44.46,56,60,60,0.3,24900,24900,1.6683
98,63.5,8.15,0.48,44.46,90,60,60,0.3,24900,24900,1.8924
99,63.5,8.15,0.48,44.46,180,60,60,0.3,24900,24900,2.241
100,63.5,8.15,0.48,44.46,250,60,60,0.3,24900,24900,2.3655
